"","unix","low","high","open","close","BTC-USD volume"
"1",1650758400,39428.09,39846.23,39459.63,39790.25,2527.28353894
"2",1650672000,39296.19,39993.82,39712.2,39465.87,6957.16710365
"3",1650585600,39174.8,40802.65,40483.38,39712.25,16871.32104798
"4",1650499200,39744.75,43109.47,41371.88,40480.81,17204.35326683
"5",1650412800,40900,42209.58,41501.56,41377.61,14609.28392672
"6",1650326400,40571.99,41772.94,40810.87,41503.85,10218.113707
"7",1650240000,38550,41100,39681.11,40803.58,13090.79423386
"8",1650153600,39553.07,40605.46,40387.6,39683.54,4833.31493601
"9",1650067200,40005,40699.99,40554.6,40387.6,4084.16565112
"10",1649980800,39770.22,40850,39953.62,40554.58,6448.01134712
"11",1649894400,39573.8,41512.43,41147.15,39954.08,11020.37202049
"12",1649808000,39550,41570.88,40086.7,41146.68,11457.63380548
"13",1649721600,39250,40705.68,39535.88,40086.23,13866.41847396
"14",1649635200,39204.59,42424.14,42165.96,39535.87,17229.3729009
"15",1649548800,41885.86,43443.32,42766.46,42165.96,5770.49368126
"16",1649462400,42118.96,42816.38,42261.9,42766.93,4805.71689778
"17",1649376000,42112,44000,43444.71,42262.02,11929.52123708
"18",1649289600,42734.69,43908.58,43166.71,43452.18,13245.36612438
"19",1649203200,43115.26,45523.25,45509.92,43166.7,24250.37283725
"20",1649116800,45371.16,47200,46594.39,45506.5,14390.57308541
"21",1649030400,45129.93,46900,46420.08,46596.83,13802.44111729
"22",1648944000,45552.07,47469.4,45826.24,46422.16,8773.77185888
"23",1648857600,45642.89,47219.46,46296.36,45826.27,8380.14274375
"24",1648771200,44232.86,46739.24,45525.25,46296.34,18111.13598043
"25",1648684800,45211,47624.09,47078.02,45528.45,17454.79144251
"26",1648598400,46544.89,47717.01,47448.41,47078.03,12672.44584707
"27",1648512000,46589,48124.94,47146.92,47454.19,15776.65108647
"28",1648425600,46662.28,48240,46850.01,47144.92,18787.66318707
"29",1648339200,44437.22,46950,44538.21,46850.01,10356.10317002
"30",1648252800,44091.09,44820.58,44336.19,44539.42,7305.17827992
"31",1648166400,43605.8,45130.91,44012.36,44331.85,19128.13735444
