ID,Company,Year,NUM_OF_EMPLOYEES,NET_ASSETS,NET_INCOME,SALES_REV_TURN,HISTORICAL_MARKET_CAP,ESG_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,TOT_GHG_CO2_EM_INTENS_PER_SALES,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_ON_BOARD,ROBECOSAM_TOTAL_STBLY_RANK,ROBECOSAM_SOCIAL_DIMENSION_RANK,ROBECOSAM_ENV_DIMENSION_RANK,ROBECOSAM_ECON_DIMENSION_RANK,Twitter_Username,followers_countÿ,friends_countÿ ,created_at,Tweets,Likes,Retweets,Images,Proportion relevant,likes per relevant,retweets per relevant,FB Posts,Likes,Shares,FB Images,FB Proportion relevant,FB likes per relevant,FB shares per relevant
1,GM US EQUITY,2016,225000,44075,9427,149184,52260,57.8512,71.4286,51.938,57.8947,52.3025,18.2,45.454,73,62,65,88,@GM,690296,6296,39420.86352,44.25,120.89,43.73,91.90207156,2.448210923,74.84615385,20.66666667,21.91666667,627.21673,123.3992395,93.91634981,1.520912548,611.25,72.75
1,GM US EQUITY,2017,180000,36200,-3864,145588,57386,60.7438,71.4286,57.3643,57.8947,44.1413,20.7,50,85,81,77,92,@GM,690296,6296,39420.86352,94.67,32.42,10.38,32.92253521,1.496478873,53.70588235,19.88235294,20.41666667,467.1836735,79.06122449,79.18367347,4.489795918,281.5454545,32.72727273
1,GM US EQUITY,2018,173000,42777,8014,147049,46830,57.8512,71.4286,49.6124,63.1579,41.2618,21.4,50,96,77,88,96,@GM,690296,6296,39420.86352,105.25,27.16,7.08,20.82343626,1.187648456,72.86666667,20.06666667,15.16666667,273.6813187,55.54945055,68.13186813,3.846153846,187.2857143,36.28571429
2,BAC US EQUITY,2016,208000,266195,17822,93662,222163.0258,66.2281,85.7143,61.6071,56.6667,11.2828,51,28.571,82,81,92,65,@BankofAmerica,523451,660,40470.7288,40.67,42.89,17.77,58.81147541,0.2049,23,16,44.25,1082.758945,129.4538606,64.59510358,0.376647834,116,13.5
2,BAC US EQUITY,2017,209376,267146,18232,100264,303681.1678,66.2281,85.7143,61.6071,56.6667,9.1593,51,33.333,87,80,94,87,@BankofAmerica,523451,660,40470.7288,33.25,83.34,21.64,49.12280702,0.250626566,73,13,41.41666667,785.1549296,127.2736419,57.14285714,0.60362173,556,187
2,BAC US EQUITY,2018,204000,265325,28147,110584,238251.2162,64.0351,85.7143,57.1429,56.6667,7.9244,50,31.25,84,79,84,86,@BankofAmerica,523451,660,40470.7288,26.42,59.26,12.15,54.88958991,0,0,0,41.58333333,222.5711423,21.51703407,38.27655311,0.200400802,93,8
3,C US EQUITY,2016,219000,226143,14912,83309,164763.2476,54.386,75,49.1071,45,9.4654,51,31.25,92,95,92,83,@Citi,912750,327,40088.98965,90.42,98.71,31.93,22.67281106,0.737327189,141,64.25,6.916666667,46509.54217,392.5180723,32.53012048,4.819277108,33956,228.5
3,C US EQUITY,2017,209000,201672,-6798,88962,191226.8948,53.9474,75,50.8929,40,8.1085,51,31.25,87,82,91,84,@Citi,912750,327,40088.98965,102.75,223.92,37.77,49.39172749,0.811030008,16.6,8.6,8.583333333,38847.32039,284.0485437,29.12621359,2.912621359,116657.6667,210.3333333
3,C US EQUITY,2018,204000,197074,18045,97120,123302.392,56.5789,75,50.8929,50,6.7715,51,29.412,78,78,85,75,@Citi,912750,327,40088.98965,89.75,294.29,32.28,62.85979573,2.135561746,482.4347826,93.73913043,9.333333333,12933.67857,102.8839286,24.10714286,4.464285714,3664.6,80.8
4,MMM US EQUITY,2016,91584,10343,5050,30109,106557.4115,54.5455,69.6429,50.3876,49.1228,198.6117,34.8,16.667,93,86,89,93,@3M,1440507,4923,40808.84189,230.58,22.42,8.74,32.05637875,0.614383809,32.88235294,15.29411765,20.58333333,353.8744939,39.68825911,63.96761134,0.809716599,25.5,3
4,MMM US EQUITY,2017,91536,11622,4858,31657,140017.9029,55.7851,69.6429,52.7132,49.1228,184.4774,34.7,25,84,84,88,84,@3M,1440507,4923,40808.84189,124.75,15.03,4.58,16.9004676,0.46760187,38.42857143,16.71428571,9,358.8796296,42.13888889,39.81481481,1.851851852,43,4.5
4,MMM US EQUITY,2018,93000,9848,5349,32765,109860.6325,57.8512,69.6429,56.5891,49.1228,202.9605,35.4,30.769,88,88,85,88,@3M,1440507,4923,40808.84189,115,10.91,2.82,15.43478261,0.434782609,40.5,16.5,13,106.6282051,51.69230769,46.79487179,2.564102564,86,44.25
