Product Number,Week, Processing Time ,Cost
 KILZ-163TL ,12, 0.20 ,$4.11
 KILZ2-166TL ,12, 0.63 ,$3.82
 ZINSSER-182TLD ,12, 0.13 ,$1.94
 GLIDEN-184TL ,12, 0.67 ,$4.50
 GLIDEN PRO-186L ,12, 0.75 ,$2.61
 KILZ PRO-192LT ,12, 0.12 ,$3.47
 KILZ AERO-206TL ,12, 0.11 ,$4.53
 GLIDEN PRO + SEALER-207TL ,12, 0.34 ,$2.54
 KILZ PREMIUM-234TL ,12, 0.24 ,$2.75
 BEHR-258TL ,12, 0.31 ,$2.95
 BEHR PRO-268TL ,12, 0.71 ,$1.71
 BEHR AERO-269LC ,12, 0.27 ,$3.90
 BEHR PRO + SEALER-327TL ,12, 0.06 ,$4.04
 ZINSSER PRO-69TL ,12, 0.11 ,$4.00
 ZINSSER SEALER-82C ,12, 0.01 ,$1.98
 ZINSSER PREMIUM-86L ,12, 0.17 ,$1.14
 GILDEN PREMIUM-86LTORG ,12, 0.58 ,$3.60
 KILZ-86TL ,12, 0.16 ,$1.22
 KILZ2-B115 ,12, 0.50 ,$4.52
 ZINSSER-B126F ,12, 0.09 ,$2.97
 GLIDEN-B127 ,12, 0.85 ,$4.65
 GLIDEN PRO-B128 ,12, 0.66 ,$3.59
 KILZ PRO-B129 ,12, 0.14 ,$2.92
 KILZ AERO-B131 ,12, 0.33 ,$3.04
 GLIDEN PRO + SEALER-B29 ,12, 0.23 ,$2.91
 KILZ PREMIUM-B37 ,12, 0.61 ,$4.11
 BEHR-B39 ,12, 0.51 ,$5.85
 BEHR PRO-B40 ,12, 0.51 ,$2.60
 BEHR AERO-B41 ,12, 0.85 ,$3.64
 BEHR PRO + SEALER-B42 ,12, 0.68 ,$1.18
 ZINSSER PRO-B53 ,12, 0.03 ,$6.75
 ZINSSER SEALER-B54 ,12, 0.38 ,$2.15
 ZINSSER PREMIUM-B61 ,12, 0.88 ,$2.88
 GILDEN PREMIUM-B64 ,12, 0.88 ,$1.01
 KILZ-B65 ,12, 0.31 ,$4.29
 KILZ2-B66 ,12, 0.72 ,$1.74
 ZINSSER-B67 ,12, 0.28 ,$5.39
 GLIDEN-B69 ,12, 0.60 ,$4.66
 GLIDEN PRO-B70 ,12, 0.80 ,$3.12
 KILZ PRO-B72 ,12, 0.79 ,$4.36
 KILZ AERO-B74 ,12, 0.51 ,$4.64
 GLIDEN PRO + SEALER-B76 ,12, 0.07 ,$2.89
 KILZ PREMIUM-B79 ,12, 0.88 ,$3.50
 BEHR-B80N ,12, 0.11 ,$4.53
 BEHR PRO-B81 ,12, 0.56 ,$4.52
 BEHR AERO-B82 ,12, 0.09 ,$3.08
 BEHR PRO + SEALER-B86HD ,12, 0.30 ,$2.73
 ZINSSER PRO-B86HY ,12, 0.11 ,$3.23
KILZ-163TL,11, 0.68 ,$4.66
KILZ2-166TL,11, 0.18 ,$3.63
ZINSSER-182TLD,11, 0.75 ,$1.30
GLIDEN-184TL,11, 0.64 ,$7.89
GLIDEN PRO-186L,11, 0.89 ,$4.36
KILZ PRO-192LT,11, 0.49 ,$1.47
KILZ AERO-206TL,11, 0.65 ,$3.71
GLIDEN PRO + SEALER-207TL,11, 0.28 ,$2.32
KILZ PREMIUM-234TL,11, 0.76 ,$1.94
BEHR-258TL,11, 0.54 ,$4.79
BEHR PRO-268TL,11, 0.83 ,$4.69
BEHR AERO-269LC,11, 0.06 ,$2.01
BEHR PRO + SEALER-327TL,11, 0.89 ,$1.89
ZINSSER PRO-69TL,11, 0.38 ,$1.14
ZINSSER SEALER-82C,11, 0.80 ,$3.85
ZINSSER PREMIUM-86L,11, 0.25 ,$5.57
GILDEN PREMIUM-86LTORG,11, 0.78 ,$3.92
KILZ-86TL,11, 0.56 ,$4.96
KILZ2-B115,11, 0.16 ,$4.51
ZINSSER-B126F,11, 0.15 ,$4.96
GLIDEN-B127,11, 0.54 ,$1.20
GLIDEN PRO-B128,11, 0.08 ,$4.72
KILZ PRO-B129,11, 0.75 ,$4.05
KILZ AERO-B131,11, 0.43 ,$2.26
GLIDEN PRO + SEALER-B29,11, 0.15 ,$1.84
KILZ PREMIUM-B37,11, 0.12 ,$3.18
BEHR-B39,11, 0.61 ,$4.85
BEHR PRO-B40,11, 0.71 ,$7.16
BEHR AERO-B41,11, 0.02 ,$4.53
BEHR PRO + SEALER-B42,11, 0.77 ,$2.05
ZINSSER PRO-B53,11, 0.25 ,$6.31
ZINSSER SEALER-B54,11, 0.89 ,$3.74
ZINSSER PREMIUM-B61,11, 0.46 ,$1.44
GILDEN PREMIUM-B64,11, 0.13 ,$3.75
KILZ-B65,11, 0.24 ,$2.05
KILZ2-B66,11, 0.16 ,$1.19
ZINSSER-B67,11, 0.29 ,$1.50
GLIDEN-B69,11, 0.88 ,$5.06
GLIDEN PRO-B70,11, 0.15 ,$5.56
KILZ PRO-B72,11, 0.75 ,$3.91
KILZ AERO-B74,11, 0.72 ,$4.68
GLIDEN PRO + SEALER-B76,11, 0.38 ,$2.80
KILZ PREMIUM-B79,11, 0.68 ,$4.67
BEHR-B80N,11, 0.80 ,$7.35
BEHR PRO-B81,11, 0.50 ,$4.85
BEHR AERO-B82,11, 0.48 ,$4.34
BEHR PRO + SEALER-B86HD,11, 0.01 ,$6.20
ZINSSER PRO-B86HY,11, 0.15 ,$4.30
KILZ-163TL,10, 0.51 ,$4.50
KILZ2-166TL,10, 0.28 ,$6.42
ZINSSER-182TLD,10, 0.09 ,$1.17
GLIDEN-184TL,10, 0.60 ,$4.64
GLIDEN PRO-186L,10, 0.37 ,$2.91
KILZ PRO-192LT,10, 0.71 ,$4.62
KILZ AERO-206TL,10, 0.43 ,$2.93
GLIDEN PRO + SEALER-207TL,10, 0.20 ,$5.48
KILZ PREMIUM-234TL,10, 0.60 ,$4.54
BEHR-258TL,10, 0.16 ,$2.84
BEHR PRO-268TL,10, 0.37 ,$4.94
BEHR AERO-269LC,10, 0.69 ,$4.61
BEHR PRO + SEALER-327TL,10, 0.57 ,$2.32
ZINSSER PRO-69TL,10, 0.38 ,$6.39
ZINSSER SEALER-82C,10, 0.04 ,$1.49
ZINSSER PREMIUM-86L,10, 0.79 ,$5.74
GILDEN PREMIUM-86LTORG,10, 0.21 ,$1.00
KILZ-86TL,10, 0.32 ,$2.84
KILZ2-B115,10, 0.13 ,$2.92
ZINSSER-B126F,10, 0.43 ,$2.03
GLIDEN-B127,10, 0.47 ,$5.57
GLIDEN PRO-B128,10, 0.52 ,$1.83
KILZ PRO-B129,10, 0.39 ,$4.12
KILZ AERO-B131,10, 0.17 ,$5.16
GLIDEN PRO + SEALER-B29,10, 0.13 ,$3.16
KILZ PREMIUM-B37,10, 0.46 ,$1.47
BEHR-B39,10, 0.80 ,$6.47
BEHR PRO-B40,10, 0.65 ,$3.17
BEHR AERO-B41,10, 0.28 ,$3.77
BEHR PRO + SEALER-B42,10, 0.62 ,$1.08
ZINSSER PRO-B53,10, 0.64 ,$5.08
ZINSSER SEALER-B54,10, 0.13 ,$1.29
ZINSSER PREMIUM-B61,10, 0.22 ,$4.25
GILDEN PREMIUM-B64,10, 0.15 ,$2.86
KILZ-B65,10, 0.41 ,$2.28
KILZ2-B66,10, 0.49 ,$1.61
ZINSSER-B67,10, 0.64 ,$6.27
GLIDEN-B69,10, 0.22 ,$5.14
GLIDEN PRO-B70,10, 0.09 ,$3.94
KILZ PRO-B72,10, 0.14 ,$4.97
KILZ AERO-B74,10, 0.58 ,$4.12
GLIDEN PRO + SEALER-B76,10, 0.41 ,$3.39
KILZ PREMIUM-B79,10, 0.15 ,$2.61
BEHR-B80N,10, 0.32 ,$5.70
BEHR PRO-B81,10, 0.71 ,$3.94
BEHR AERO-B82,10, 0.23 ,$2.57
BEHR PRO + SEALER-B86HD,10, 0.12 ,$5.23
ZINSSER PRO-B86HY,10, 0.41 ,$1.37
KILZ-163TL,9, 0.20 ,$6.76
KILZ2-166TL,9, 0.54 ,$1.41
ZINSSER-182TLD,9, 0.77 ,$1.65
