company,created_at,Sum_anger,Sum_anticipation,Sum_disgust,Sum_fear,Sum_joy,Sum_sadness,Sum_surprise,Sum_trust,Sum_negative,Sum_positive,Mean_anger,Mean_anticipation,Mean_disgust,Mean_fear,Mean_joy,Mean_sadness,Mean_surprise,Mean_trust,Mean_negative,Mean_positive,Sentiment_Score_sum,Sentiment_Score_men,Sentiment_Score_sum_range_0_to_5, 
bookingcom,2022-03-10,0,1,0,0,1,0,1,3,0,2,0,0.333333333,0,0,0.333333333,0,0.333333333,1,0,0.666666667,2,0.66666667,0.138888889,
bookingcom,2022-03-11,0,1,0,0,1,0,1,1,0,2,0,0.5,0,0,0.5,0,0.5,0.5,0,1,2,1,0.138888889,
bookingcom,2022-03-12,1,0,0,1,0,1,0,2,2,1,0.5,0,0,0.5,0,0.5,0,1,1,0.5,-1,-0.5,-0.069444444,
bookingcom,2022-03-14,0,1,0,0,2,0,1,1,0,3,0,0.5,0,0,1,0,0.5,0.5,0,1.5,3,1.5,0.208333333,
bookingcom,2022-03-15,0,6,0,1,5,0,4,4,0,8,0,2,0,0.333333333,1.666666667,0,1.333333333,1.333333333,0,2.666666667,8,2.66666667,0.555555556,
bookingcom,2022-03-16,0,3,0,0,4,1,2,6,0,7,0,0.6,0,0,0.8,0.2,0.4,1.2,0,1.4,7,1.4,0.486111111,
bookingcom,2022-03-17,2,1,0,0,2,1,1,4,2,5,0.5,0.25,0,0,0.5,0.25,0.25,1,0.5,1.25,3,0.75,0.208333333,
bookingcom,2022-03-18,0,1,0,0,1,1,0,2,1,4,0,0.333333333,0,0,0.333333333,0.333333333,0,0.666666667,0.333333333,1.333333333,3,1,0.208333333,
bookingcom,2022-03-19,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,
bookingcom,2022-03-20,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0.069444444,
bookingcom,2022-03-21,0,4,0,0,6,0,1,2,0,4,0,1,0,0,1.5,0,0.25,0.5,0,1,4,1,0.277777778,
bookingcom,2022-03-22,0,2,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,2,2,2,0.138888889,
bookingcom,2022-03-23,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0.069444444,
bookingcom,2022-03-24,0,2,0,0,1,0,0,4,0,5,0,0.4,0,0,0.2,0,0,0.8,0,1,5,1,0.347222222,
bookingcom,2022-03-25,0,1,0,1,1,1,1,1,2,4,0,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,1.333333333,2,0.66666667,0.138888889,
bookingcom,2022-03-26,24,52,18,31,42,38,28,67,67,94,0.192,0.416,0.144,0.248,0.336,0.304,0.224,0.536,0.536,0.752,27,0.216,1.875,
bookingcom,2022-03-27,25,48,13,22,33,31,12,76,60,84,0.219298246,0.421052632,0.114035088,0.192982456,0.289473684,0.271929825,0.105263158,0.666666667,0.526315789,0.736842105,24,0.21052632,1.666666667,
bookingcom,2022-03-28,38,80,25,47,57,69,31,133,104,161,0.20212766,0.425531915,0.132978723,0.25,0.303191489,0.367021277,0.164893617,0.707446809,0.553191489,0.856382979,57,0.30319149,3.958333333,
bookingcom,2022-03-29,51,99,32,53,70,81,47,156,137,194,0.22173913,0.430434783,0.139130435,0.230434783,0.304347826,0.352173913,0.204347826,0.67826087,0.595652174,0.843478261,57,0.24782609,3.958333333,
